broker_id,broker_name,buy,sell,net,net_lot
8440,摩根大通,38053191,16491596,21561595,21561.6
1590,花旗環球,19165968,6076000,13089968,13090.0
8960,上海匯豐,10868000,2303676,8564324,8564.3
1650,瑞銀,26767910,20805089,5962821,5962.8
9600,富邦,9811283,4668218,5143065,5143.1
7007,兆豐竹北,4042700,204685,3838015,3838.0
9A81,永豐匯立,3503000,97000,3406000,3406.0
1440,美林,19370673,17137000,2233673,2233.7
9334,華南世貿,2050000,52500,1997500,1997.5
8560,新光,5166446,3225345,1941101,1941.1
913N,群益土城,1956501,102100,1854401,1854.4
8150,台新,3609617,2054950,1554667,1554.7
8885,國泰桃園,2377734,828280,1549454,1549.5
9604,富邦陽明,5535365,4141764,1393601,1393.6
104A,臺銀臺中,1657882,579792,1078090,1078.1
9268,凱基台北,27452450,26544683,907767,907.8
884C,玉山信義,876864,235200,641664,641.7
8880,國泰綜合,1625232,1114044,511188,511.2
8588,聯邦台南,585104,95619,489485,489.5
700X,兆豐永和,510690,33300,477390,477.4
