broker_id,broker_name,buy,sell,net_buy
8440,摩根大通,8339544,5321842,3017702
1470,台灣摩根,8836353,6098726,2737627
1590,花旗環球,3076050,436679,2639371
9A81,永豐匯立,1608000,253000,1355000
8960,上海匯豐,1247800,85000,1162800
9268,凱基台北,15655057,14565845,1089212
8880,國泰綜合,2119443,1113351,1006092
989G,元大大同,922585,127195,795390
8560,新光,2176766,1664655,512111
5854,統一城中,2508235,2088249,419986
7000,兆豐,667272,286797,380475
981B,元大竹北,627678,289419,338259
8159,台新台南,577045,271569,305476
6160,中國信託,1054031,762947,291084
8888,國泰敦南,3853475,3587115,266360
1030,土銀,280866,60915,219951
8890,大和國泰,206000,7000,199000
5380,第一金證,309350,114020,195330
9223,凱基豐中,287155,104403,182752
9308,華南麻豆,706196,524585,181611
