stock_id,trade_date,score,final_score,trend,monitor_state,concentration_5d,concentration_20d,netbuy_1d_lot,netbuy_5d_lot,netbuy_20d_lot,buy_count_5d,sell_count_5d,breadth_5d,breadth_ratio_5d,buy_count_20d,sell_count_20d,breadth_20d,breadth_ratio_20d,pressure_ratio_5d,pressure_ratio_20d,top15_buy_stability_10d,top15_buy_stability_20d,enh_coherence_today,enh_coherence_slope_5d,enh_coherence_persistence_20d,enh_coherence_max_20d,enh_cost_low,enh_cost_high,enh_cost_deviation,enh_cost_zone_status,tv_score,tv_grade,regime_score,regime_trend,geo_grade,geo_zscore,geo_baseline_weight,dist_risk_flag,breakout_flag,divergence_flag,confirmation_score,atr_pct_20d,avg_turnover_20d,invalid_flag,ret_5d,ret_10d,ret_20d
2338,2025-12-01,81.0,63.4,震盪,NEUTRAL,52.9,37.1,0.0,0.0,2.0,198,305,-107,0.3936,350,382,-32,0.4781,0.7211,0.688,0.151,0.1526,0.85,0.092,0.3,1.95,33.9,35.74,0.063,above_zone,1,weak,65,transition,NA,,0.7,0,0,1,32.4,0.0327,30867730.0125,0,0.0111,0.0153,0.0
2338,2025-12-02,81.0,63.4,震盪,NEUTRAL,52.79,38.72,0.0,0.0,0.0,214,296,-82,0.4196,339,384,-45,0.4689,0.6908,0.7051,0.1469,0.1463,0.71,0.071,0.3,1.9,34.37,35.71,0.043,above_zone,0,weak,65,transition,NA,,0.7,0,0,1,32.4,0.0312,29154330.047500003,0,0.0084,-0.0349,-0.0139
2338,2025-12-03,81.0,63.4,震盪,NEUTRAL,41.97,40.49,0.0,0.0,0.0,210,275,-65,0.433,330,383,-53,0.4628,0.6706,0.6943,0.1469,0.1487,0.46,-0.037,0.25,1.99,34.27,35.7,0.05,above_zone,1,weak,65,transition,NA,,0.7,0,0,1,32.4,0.0303,27862848.652499996,0,-0.0153,-0.0569,-0.0014
2338,2025-12-04,80.0,62.9,震盪,NEUTRAL,43.81,40.27,0.0,0.0,0.0,217,243,-26,0.4717,324,380,-56,0.4602,0.6377,0.7028,0.1377,0.1487,0.7,-0.069,0.25,2.04,33.94,35.69,0.058,above_zone,1,weak,65,transition,NA,,0.7,0,0,1,32.0,0.0295,27207447.3525,0,-0.0125,-0.0557,-0.0125
2338,2025-12-05,78.0,61.9,震盪,NEUTRAL,42.63,36.8,0.0,0.0,2.0,246,188,58,0.5668,322,378,-56,0.46,0.5496,0.6942,0.1193,0.1345,1.09,0.015,0.2,2.07,34.97,35.69,0.012,inside_zone,0,weak,65,transition,NA,,0.7,0,0,1,31.2,0.03,26427430.3075,0,-0.0042,-0.0014,0.0325
2338,2025-12-08,80.0,62.9,震盪,DISTRIBUTION,48.21,35.94,0.0,0.0,2.0,221,208,13,0.5152,323,376,-53,0.4621,0.5899,0.6799,0.1094,0.1298,0.72,0.048,0.2,2.11,34.95,36.54,0.043,inside_zone,0,weak,65,transition,NA,,0.7,1,0,1,32.0,0.029,25834511.7175,0,0.0041,-0.0192,0.0686
2338,2025-12-09,80.0,62.9,震盪,DISTRIBUTION,50.66,37.31,0.0,0.0,2.0,222,212,10,0.5115,342,378,-36,0.475,0.5673,0.6623,0.1142,0.1274,0.94,0.087,0.2,2.13,34.95,36.8,0.034,inside_zone,0,weak,65,transition,NA,,0.7,1,0,1,32.0,0.0306,26194623.8575,0,-0.0429,0.0318,0.0277
2338,2025-12-10,77.0,61.4,震盪,DISTRIBUTION,33.15,37.0,0.0,0.0,2.0,268,203,65,0.569,358,362,-4,0.4972,0.5128,0.6415,0.0999,0.1253,1.27,0.09,0.25,2.1,34.94,36.8,0.015,inside_zone,0,weak,65,transition,NA,,0.7,1,0,1,30.8,0.0317,26062336.27,0,-0.0423,0.0254,0.0423
2338,2025-12-11,78.0,61.9,震盪,DISTRIBUTION,31.53,37.9,0.0,0.0,2.0,249,224,25,0.5264,348,366,-18,0.4874,0.5266,0.6394,0.0955,0.1185,0.82,-0.009,0.2,2.19,34.94,36.8,0.015,inside_zone,0,weak,65,transition,NA,,0.7,1,0,1,31.2,0.0316,25454462.1375,0,-0.0437,0.0155,0.0621
2338,2025-12-12,75.0,60.4,震盪,DISTRIBUTION,29.29,38.94,0.0,0.0,0.0,252,226,26,0.5272,325,387,-62,0.4565,0.5052,0.6708,0.0911,0.1205,0.94,0.012,0.2,2.26,35.23,36.8,0.001,inside_zone,0,weak,65,transition,NA,,0.7,1,0,1,30.0,0.0316,24356148.437499996,0,0.0028,0.0255,0.0695
2338,2025-12-15,77.0,61.4,震盪,DISTRIBUTION,48.23,38.43,0.0,0.0,0.0,249,267,-18,0.4826,319,391,-72,0.4493,0.5266,0.6482,0.1043,0.1227,1.13,-0.024,0.2,2.24,34.95,35.8,0.047,above_zone,0,weak,65,transition,NA,,0.7,1,0,1,30.8,0.0307,24469243.4875,0,-0.0232,-0.015,0.0601
2338,2025-12-16,71.0,58.3,震盪,DISTRIBUTION,21.61,37.84,0.0,0.0,0.0,333,206,127,0.6178,336,376,-40,0.4719,0.4311,0.6374,0.0859,0.1208,2.54,0.26,0.2,2.54,34.88,36.8,-0.008,below_zone,0,weak,65,transition,NA,,0.7,1,0,1,28.4,0.0335,24389420.997500002,1,0.078,0.0217,0.1185
2338,2025-12-17,70.0,57.8,震盪,DISTRIBUTION,18.39,34.29,0.0,0.0,0.0,342,199,143,0.6322,352,355,-3,0.4979,0.395,0.6001,0.0951,0.1184,1.81,0.355,0.2,2.45,34.79,36.8,-0.024,below_zone,0,weak,65,transition,NA,,0.7,1,0,1,28.0,0.0335,24173831.302500002,1,0.0707,0.0589,0.1767
2338,2025-12-18,70.0,57.8,震盪,DISTRIBUTION,17.78,31.59,0.0,0.0,0.0,361,177,184,0.671,361,348,13,0.5092,0.3605,0.5751,0.0913,0.1103,0.98,0.096,0.2,2.4,34.23,36.8,-0.01,below_zone,0,weak,65,transition,NA,,0.7,1,0,1,28.0,0.0333,23382621.7875,1,0.0619,0.0457,0.2301
2338,2025-12-19,71.0,58.3,震盪,NEUTRAL,24.66,38.54,0.0,0.0,0.0,316,207,109,0.6042,329,378,-49,0.4653,0.4677,0.608,0.0913,0.1056,0.67,-0.234,0.15,2.52,34.5,36.8,0.025,inside_zone,0,weak,65,transition,NA,,0.7,0,0,1,28.4,0.0324,23645947.667500004,0,0.0226,0.0339,0.1754
2338,2025-12-22,71.0,58.3,震盪,NEUTRAL,22.31,37.73,0.0,0.0,0.0,354,170,184,0.6756,325,385,-60,0.4577,0.4453,0.6137,0.102,0.1082,0.98,-0.417,0.15,2.48,34.68,36.8,0.031,inside_zone,0,weak,65,transition,NA,,0.7,0,0,1,28.4,0.0313,23786931.560000002,0,0.0084,0.0895,0.172
2338,2025-12-23,81.0,63.4,震盪,NEUTRAL,43.8,33.31,0.0,0.0,0.0,281,333,-52,0.4577,337,386,-49,0.4661,0.5598,0.5905,0.1111,0.1105,1.82,0.016,0.2,2.33,35.53,37.28,0.05,above_zone,0,weak,65,transition,NA,,0.7,0,0,1,32.4,0.0328,29431166.575,0,-0.0523,-0.004,0.1233
2338,2025-12-24,60.0,52.7,震盪,FADING,21.81,28.59,0.0,0.0,0.0,357,289,68,0.5526,409,332,77,0.552,0.4414,0.4912,0.107,0.1018,2.69,0.475,0.2,2.69,35.57,36.23,0.022,above_zone,0,weak,65,transition,NA,,0.7,0,0,0,24.0,0.0348,33053741.885,0,-0.011,0.0165,0.1032
2338,2025-12-26,60.0,52.7,震盪,FADING,29.36,20.76,0.0,0.0,0.0,374,273,101,0.5781,431,309,122,0.5824,0.4069,0.4444,0.1114,0.1018,1.39,0.352,0.25,2.58,35.57,36.24,0.012,inside_zone,0,weak,65,transition,NA,,0.7,0,0,0,24.0,0.0358,33887020.725,0,-0.0153,0.0458,0.1153
