broker_id,broker_name_master,city
1020,合庫,台北市
1021,合庫- 台中,台中市
1022,合庫-台南,台南市
1023,合庫-高雄,高雄市
1024,合庫-嘉義,嘉義市
1025,合庫-基隆,基隆市
1028,合庫 - 彰化,彰化縣
1029,合庫 - 鳳山,高雄市
102A,合庫-新竹,新竹市
102C,合庫-自強,台北市
102E,合庫-桃園,桃園市
102F,合庫-西台中,台中市
102G,合庫-三重,新北市
102Q,合庫-國際證券,台北市
1030,土銀,台北市
1031,土銀-台中,台中市
1032,土銀-台南,台南市
1033,土銀-高雄,高雄市
1034,土銀-嘉義,嘉義市
1035,土銀-新竹,新竹市
1036,土銀-玉里,花蓮縣
1037,土銀-花蓮,花蓮縣
1038,土銀-和平,台北市
1039,土銀-士林,台北市
103A,土銀-建國,高雄市
103B,土銀-彰化,彰化市
103C,土銀-白河,台南市
103F,土銀-南港,台北市
1040,臺銀證券,台北市
1042,臺銀-臺南,台南市
1043,臺銀-民權,台北市
1045,臺銀-新竹,新竹市
104A,臺銀-臺中,台中市
104C,臺銀-高雄,高雄市
104D,臺銀-金山,台北市
1110,台灣企銀,台北市
1111,台灣企銀-台中,台中市
1112,台灣企銀-台南,台南市
1113,台灣企銀-九如,高雄市
1114,台灣企銀-嘉義,嘉義市
1115,台灣企銀-太平,台中市
1116,台灣企銀-屏東,屏東市
1117,台灣企銀-竹北,新竹縣
1118,台灣企銀-豐原,台中市
1119,台灣企銀-岡山,高雄市
111A,台灣企銀-民雄,嘉義縣
111B,台灣企銀-建成,台北市
111E,臺灣企銀-桃園,桃園市
111F,台灣企銀-北高雄,高雄市
111G,臺灣企銀-埔墘,新北市
1230,彰銀,台北市
1232,彰銀-七賢,高雄市
1233,彰銀-台中,台中市
1260,宏遠,台北市
1261,宏遠-民生,台北市
1262,宏遠-桃園,桃園市
126D,宏遠-台南,台南市
126H,宏遠-中和,新北市
126L,宏遠-台中,台中市
126Q,宏遠-高雄,高雄市
126U,宏遠-館前,台北市
126X,宏遠-新化,台南市
126i,宏遠-光隆,花蓮縣
1360,港商麥格理,台北市
1440,美林,台北市
1470,台灣摩根士丹利,台北市
1480,美商高盛,台北市
1560,港商野村,台北市
1590,花旗環球,台北市
1650,新加坡商瑞銀,台北市
2180,亞東,台北市
2181,亞東-板橋,台北縣
2184,亞東-新竹,新竹市
2185,亞東-台南,台南市
2186,亞東-高雄,高雄市
2187,亞東-台中,台中市
218A,亞東-國際證券,新北市
2200,元大期貨,台北市
2210,群益期貨,台北市
5050,大展,台北市
5058,大展-台南,台南市
5110,富隆,台北市
5260,美好,台北市
5261,美好-蘆洲,新北市
5262,美好-楊梅,桃園市
5263,美好-泰山,新北市
5264,美好-高雄,高雄市
5265,美好-苗栗,苗栗縣
5266,美好-中壢,桃園市
5267,美好-基隆,基隆市
5268,美好-台南,台南市
526A,美好-中和,新北市
526K,美好-富順,新北市
526M,美好-市政,台中市
5320,高橋,桃園市
5321,高橋-龍潭,桃園市
5322,高橋-中壢,桃園市
5323,高橋-內壢,桃園市
5380,第一金,台北市
5381,第一金-員林,彰化縣
5382,第一金-台中,台中市
5383,第一金-高雄,高雄市
5384,第一金-台南,台南市
5385,第一金-桃園,桃園市
5386,第一金-彰化,彰化縣
5387,第一金-澎湖,澎湖縣
5389,第一金-中山,台北市
538A,第一金-新興,高雄市
538B,第一金-新竹,新竹市
538C,第一金-光復,台北市
538D,第一金-忠孝,台北市
538E,第一金-自由,台中市
538F,第一金-大稻埕,台北市
538I,第一金-頭份,苗栗縣
538M,第一金-嘉義,嘉義市
538N,第一金-豐原,台中市
538P,第一金-路竹,高雄市
538W,第一金-華江,新北市
538Y,第一金-中壢,桃園市
538a,第一金-國際證券,台北市
538j,第一金-安和,台北市
5460,寶盛,台中市
5600,永興,台北市
5602,永興-水湳,台中市
5603,永興-台中,台中市
5604,永興-大墩,台中市
5660,日進,苗栗縣
5850,統一,台北市
5851,統一-高雄,高雄市
5852,統一-敦南,台北市
5853,統一-中壢,桃園市
5854,統一-城中,台北市
5855,統一-台南,台南市
5856,統一-台中,台中市
5857,統一-新竹,新竹市
5858,統一-嘉義,嘉義市
5859,統一-屏東,屏東縣
585A,統一-基隆,基隆市
585B,統一-永和,新北市
585D,統一-新台中,台中市
585E,統一-新營,台南市
585F,統一-彰化,彰化縣
585H,統一-桃園,桃園市
585I,統一-員林,彰化縣
585J,統一-三重,新北市
585M,統一-士林,台北市
585P,統一-板橋,新北市
585Q,統一-三多,高雄市
585R,統一-東湖,台北市
585S,統一-宜蘭,宜蘭縣
585U,統一-南京,台北市
585W,統一-金門,金門縣
585Y,統一-土城,新北市
585Z,統一-松江,台北市
585b,統一-內湖,台北市
585c,統一-仁愛,台北市
585g,統一-平鎮,桃園市
585m,統一-竹南,苗栗縣
585s,統一-國際證券,台北市
5860,盈溢,高雄市
5861,盈溢-籬子內,高雄市
5862,盈溢-楠梓,高雄市
