securities_trader,price,buy,sell,securities_trader_id,stock_id,date
合庫,1285.0,50,0,1020,6805,2026-01-15
合庫,1300.0,10,0,1020,6805,2026-01-15
合庫台中,1285.0,50,0,1021,6805,2026-01-15
合庫台中,1290.0,20,10,1021,6805,2026-01-15
合庫台中,1295.0,15,0,1021,6805,2026-01-15
合庫台中,1300.0,10,0,1021,6805,2026-01-15
合庫台南,1280.0,20,0,1022,6805,2026-01-15
合庫台南,1290.0,1025,1000,1022,6805,2026-01-15
合庫台南,1305.0,20,0,1022,6805,2026-01-15
合庫高雄,1280.0,10,0,1023,6805,2026-01-15
合庫高雄,1290.0,50,0,1023,6805,2026-01-15
合庫高雄,1295.0,10,0,1023,6805,2026-01-15
合庫彰化,1275.0,10,0,1028,6805,2026-01-15
合庫彰化,1300.0,20,0,1028,6805,2026-01-15
合庫鳳山,1285.0,1000,0,1029,6805,2026-01-15
合庫鳳山,1290.0,20,0,1029,6805,2026-01-15
合庫鳳山,1295.0,0,1000,1029,6805,2026-01-15
合庫新竹,1290.0,1000,0,102A,6805,2026-01-15
合庫自強,1285.0,1000,0,102C,6805,2026-01-15
合庫自強,1300.0,30,0,102C,6805,2026-01-15
合庫桃園,1275.0,115,0,102E,6805,2026-01-15
合庫桃園,1290.0,100,0,102E,6805,2026-01-15
合庫桃園,1305.0,0,1000,102E,6805,2026-01-15
合庫西台,1270.0,1000,0,102F,6805,2026-01-15
合庫西台,1275.0,5,0,102F,6805,2026-01-15
合庫西台,1280.0,80,0,102F,6805,2026-01-15
合庫西台,1285.0,1000,0,102F,6805,2026-01-15
合庫西台,1295.0,86,0,102F,6805,2026-01-15
合庫西台,1305.0,1100,0,102F,6805,2026-01-15
合庫三重,1285.0,25,0,102G,6805,2026-01-15
合庫三重,1300.0,38,0,102G,6805,2026-01-15
土銀,1290.0,10,0,1030,6805,2026-01-15
土銀台南,1295.0,500,0,1032,6805,2026-01-15
土銀嘉義,1280.0,50,0,1034,6805,2026-01-15
土銀新竹,1295.0,10,0,1035,6805,2026-01-15
土銀玉里,1290.0,6,0,1036,6805,2026-01-15
土銀花蓮,1285.0,1000,0,1037,6805,2026-01-15
土銀和平,1305.0,50,0,1038,6805,2026-01-15
土銀南港,1275.0,0,300,103F,6805,2026-01-15
土銀南港,1280.0,0,500,103F,6805,2026-01-15
臺銀,1270.0,1000,0,1040,6805,2026-01-15
臺銀,1285.0,13,1000,1040,6805,2026-01-15
臺銀,1290.0,210,200,1040,6805,2026-01-15
臺銀,1295.0,1124,0,1040,6805,2026-01-15
臺銀,1305.0,30,0,1040,6805,2026-01-15
臺銀,1310.0,0,2000,1040,6805,2026-01-15
臺銀臺南,1270.0,0,1000,1042,6805,2026-01-15
臺銀臺南,1280.0,2,110,1042,6805,2026-01-15
臺銀臺南,1290.0,85,1,1042,6805,2026-01-15
臺銀臺南,1295.0,5,0,1042,6805,2026-01-15
臺銀臺南,1300.0,13,0,1042,6805,2026-01-15
臺銀臺南,1305.0,1000,0,1042,6805,2026-01-15
臺銀民權,1280.0,50,0,1043,6805,2026-01-15
臺銀民權,1290.0,0,200,1043,6805,2026-01-15
臺銀民權,1295.0,1000,0,1043,6805,2026-01-15
臺銀新竹,1275.0,1000,0,1045,6805,2026-01-15
臺銀新竹,1285.0,1000,1000,1045,6805,2026-01-15
臺銀新竹,1290.0,3,0,1045,6805,2026-01-15
臺銀新竹,1295.0,1000,1050,1045,6805,2026-01-15
臺銀新竹,1300.0,100,0,1045,6805,2026-01-15
臺銀新竹,1305.0,0,2000,1045,6805,2026-01-15
臺銀臺中,1270.0,101,0,104A,6805,2026-01-15
臺銀臺中,1275.0,101,0,104A,6805,2026-01-15
臺銀臺中,1280.0,1,0,104A,6805,2026-01-15
臺銀臺中,1285.0,1,0,104A,6805,2026-01-15
臺銀臺中,1290.0,65,0,104A,6805,2026-01-15
臺銀臺中,1295.0,50,2,104A,6805,2026-01-15
臺銀臺中,1305.0,100,0,104A,6805,2026-01-15
臺銀高雄,1275.0,0,1000,104C,6805,2026-01-15
臺銀高雄,1280.0,100,1000,104C,6805,2026-01-15
臺銀高雄,1290.0,1290,0,104C,6805,2026-01-15
臺銀高雄,1295.0,216,0,104C,6805,2026-01-15
臺銀高雄,1300.0,1,0,104C,6805,2026-01-15
臺銀高雄,1310.0,1000,1000,104C,6805,2026-01-15
臺銀金山,1290.0,0,50,104D,6805,2026-01-15
臺銀金山,1295.0,32,0,104D,6805,2026-01-15
企銀,1270.0,1000,0,1110,6805,2026-01-15
企銀,1285.0,2000,0,1110,6805,2026-01-15
企銀,1295.0,0,2000,1110,6805,2026-01-15
企銀,1300.0,1000,0,1110,6805,2026-01-15
企銀,1315.0,2000,1000,1110,6805,2026-01-15
企銀九如,1290.0,1010,0,1113,6805,2026-01-15
企銀嘉義,1275.0,100,0,1114,6805,2026-01-15
企銀嘉義,1290.0,0,100,1114,6805,2026-01-15
企銀太平,1290.0,10,0,1115,6805,2026-01-15
企銀太平,1295.0,50,0,1115,6805,2026-01-15
企銀竹北,1280.0,6000,10000,1117,6805,2026-01-15
企銀竹北,1290.0,10050,0,1117,6805,2026-01-15
企銀豐原,1280.0,1000,0,1118,6805,2026-01-15
企銀豐原,1295.0,0,1000,1118,6805,2026-01-15
企銀岡山,1285.0,0,30,1119,6805,2026-01-15
企銀岡山,1290.0,13,0,1119,6805,2026-01-15
企銀民雄,1305.0,100,0,111A,6805,2026-01-15
企銀桃園,1290.0,0,1000,111E,6805,2026-01-15
企銀埔墘,1285.0,50,0,111G,6805,2026-01-15
彰銀,1300.0,0,1000,1230,6805,2026-01-15
彰銀台中,1290.0,34,0,1233,6805,2026-01-15
彰銀台中,1305.0,5,0,1233,6805,2026-01-15
宏遠,1305.0,10,0,1260,6805,2026-01-15
宏遠桃園,1290.0,10,0,1262,6805,2026-01-15
宏遠桃園,1295.0,10,0,1262,6805,2026-01-15
宏遠桃園,1305.0,0,1000,1262,6805,2026-01-15
宏遠中和,1295.0,10,0,126H,6805,2026-01-15
宏遠光隆,1285.0,10,0,126i,6805,2026-01-15
宏遠光隆,1290.0,1000,0,126i,6805,2026-01-15
宏遠光隆,1295.0,70,0,126i,6805,2026-01-15
宏遠台中,1280.0,1000,1000,126L,6805,2026-01-15
宏遠台中,1295.0,0,1000,126L,6805,2026-01-15
宏遠館前,1290.0,10,0,126U,6805,2026-01-15
宏遠館前,1305.0,1000,0,126U,6805,2026-01-15
宏遠新化,1300.0,100,0,126X,6805,2026-01-15
美林,1275.0,2000,0,1440,6805,2026-01-15
美林,1280.0,16000,0,1440,6805,2026-01-15
美林,1285.0,43000,2000,1440,6805,2026-01-15
美林,1290.0,23000,2000,1440,6805,2026-01-15
美林,1295.0,12000,1000,1440,6805,2026-01-15
美林,1300.0,2000,0,1440,6805,2026-01-15
美林,1305.0,7000,1000,1440,6805,2026-01-15
台灣摩根,1280.0,17000,5000,1470,6805,2026-01-15
台灣摩根,1285.0,3000,5000,1470,6805,2026-01-15
台灣摩根,1290.0,12000,2000,1470,6805,2026-01-15
台灣摩根,1295.0,8000,3000,1470,6805,2026-01-15
台灣摩根,1300.0,2000,1000,1470,6805,2026-01-15
台灣摩根,1305.0,3000,0,1470,6805,2026-01-15
台灣摩根,1320.0,0,1000,1470,6805,2026-01-15
美商高盛,1275.0,1000,21000,1480,6805,2026-01-15
美商高盛,1280.0,26000,36000,1480,6805,2026-01-15
美商高盛,1285.0,65000,29000,1480,6805,2026-01-15
美商高盛,1290.0,60000,27000,1480,6805,2026-01-15
美商高盛,1295.0,32000,16000,1480,6805,2026-01-15
美商高盛,1300.0,3000,33000,1480,6805,2026-01-15
美商高盛,1305.0,1000,19000,1480,6805,2026-01-15
美商高盛,1310.0,0,19000,1480,6805,2026-01-15
港商野村,1280.0,0,3000,1560,6805,2026-01-15
港商野村,1285.0,0,2000,1560,6805,2026-01-15
港商野村,1290.0,2000,4000,1560,6805,2026-01-15
港商野村,1295.0,0,1000,1560,6805,2026-01-15
花旗環球,1285.0,1000,0,1590,6805,2026-01-15
花旗環球,1290.0,3000,0,1590,6805,2026-01-15
花旗環球,1295.0,2000,0,1590,6805,2026-01-15
瑞銀,1280.0,18000,0,1650,6805,2026-01-15
瑞銀,1285.0,22000,4000,1650,6805,2026-01-15
瑞銀,1290.0,23000,4000,1650,6805,2026-01-15
瑞銀,1295.0,5000,0,1650,6805,2026-01-15
瑞銀,1305.0,6000,0,1650,6805,2026-01-15
瑞銀,1310.0,0,1000,1650,6805,2026-01-15
瑞銀,1315.0,0,6000,1650,6805,2026-01-15
亞東,1295.0,100,1000,2180,6805,2026-01-15
亞東,1300.0,1000,0,2180,6805,2026-01-15
亞東,1305.0,100,0,2180,6805,2026-01-15
亞東板橋,1275.0,50,0,2181,6805,2026-01-15
亞東新竹,1285.0,2,0,2184,6805,2026-01-15
亞東新竹,1290.0,12,0,2184,6805,2026-01-15
亞東台中,1270.0,1000,0,2187,6805,2026-01-15
亞東台中,1280.0,0,1000,2187,6805,2026-01-15
大展,1280.0,1050,0,5050,6805,2026-01-15
大展,1310.0,0,1000,5050,6805,2026-01-15
美好蘆洲,1290.0,1,0,5261,6805,2026-01-15
美好楊梅,1300.0,100,0,5262,6805,2026-01-15
美好楊梅,1305.0,100,0,5262,6805,2026-01-15
美好高雄,1290.0,1000,1000,5264,6805,2026-01-15
美好高雄,1310.0,0,100,5264,6805,2026-01-15
美好苗栗,1285.0,0,1000,5265,6805,2026-01-15
美好苗栗,1300.0,1000,0,5265,6805,2026-01-15
美好中壢,1305.0,1000,0,5266,6805,2026-01-15
美好中壢,1315.0,0,1,5266,6805,2026-01-15
美好台南,1275.0,2000,0,5268,6805,2026-01-15
美好台南,1280.0,0,6000,5268,6805,2026-01-15
美好台南,1285.0,3000,0,5268,6805,2026-01-15
美好台南,1295.0,1000,0,5268,6805,2026-01-15
美好台南,1300.0,1000,0,5268,6805,2026-01-15
美好台南,1305.0,2000,0,5268,6805,2026-01-15
高橋,1280.0,10,0,5320,6805,2026-01-15
高橋,1285.0,1000,0,5320,6805,2026-01-15
高橋,1290.0,50,0,5320,6805,2026-01-15
高橋,1295.0,180,50,5320,6805,2026-01-15
高橋,1300.0,1000,20,5320,6805,2026-01-15
高橋,1305.0,0,1000,5320,6805,2026-01-15
高橋龍潭,1280.0,30,0,5321,6805,2026-01-15
第一金證,1305.0,1000,0,5380,6805,2026-01-15
第一員林,1275.0,5,0,5381,6805,2026-01-15
第一員林,1290.0,1,0,5381,6805,2026-01-15
第一員林,1295.0,1,0,5381,6805,2026-01-15
第一台中,1280.0,0,1000,5382,6805,2026-01-15
第一台中,1300.0,1,0,5382,6805,2026-01-15
第一高雄,1285.0,5,0,5383,6805,2026-01-15
第一高雄,1290.0,20,0,5383,6805,2026-01-15
第一高雄,1295.0,10,0,5383,6805,2026-01-15
第一台南,1285.0,1,0,5384,6805,2026-01-15
第一台南,1290.0,1000,517,5384,6805,2026-01-15
第一台南,1295.0,74,483,5384,6805,2026-01-15
第一台南,1300.0,50,0,5384,6805,2026-01-15
第一台南,1305.0,50,0,5384,6805,2026-01-15
第一桃園,1285.0,100,0,5385,6805,2026-01-15
第一桃園,1295.0,0,10,5385,6805,2026-01-15
第一彰化,1280.0,1,0,5386,6805,2026-01-15
第一彰化,1285.0,1001,0,5386,6805,2026-01-15
第一彰化,1290.0,50,0,5386,6805,2026-01-15
第一彰化,1295.0,15,0,5386,6805,2026-01-15
第一中山,1280.0,1000,0,5389,6805,2026-01-15
第一中山,1290.0,0,3300,5389,6805,2026-01-15
第一新興,1280.0,0,1000,538A,6805,2026-01-15
第一新興,1290.0,100,0,538A,6805,2026-01-15
第一新興,1305.0,0,400,538A,6805,2026-01-15
第一新竹,1280.0,0,3000,538B,6805,2026-01-15
第一新竹,1310.0,3000,0,538B,6805,2026-01-15
第一光復,1290.0,10,0,538C,6805,2026-01-15
第一忠孝,1280.0,1000,0,538D,6805,2026-01-15
第一忠孝,1295.0,15,0,538D,6805,2026-01-15
第一忠孝,1305.0,0,15,538D,6805,2026-01-15
第一自由,1280.0,5,0,538E,6805,2026-01-15
第一稻埕,1285.0,5,0,538F,6805,2026-01-15
第一稻埕,1290.0,5,0,538F,6805,2026-01-15
第一稻埕,1295.0,23,0,538F,6805,2026-01-15
第一稻埕,1300.0,5,0,538F,6805,2026-01-15
第一頭份,1285.0,30,0,538I,6805,2026-01-15
第一頭份,1290.0,55,0,538I,6805,2026-01-15
第一豐原,1290.0,100,0,538N,6805,2026-01-15
第一豐原,1295.0,109,0,538N,6805,2026-01-15
第一豐原,1305.0,300,0,538N,6805,2026-01-15
第一路竹,1285.0,1,0,538P,6805,2026-01-15
第一路竹,1290.0,13,0,538P,6805,2026-01-15
第一華江,1275.0,10,0,538W,6805,2026-01-15
第一華江,1280.0,1150,0,538W,6805,2026-01-15
第一華江,1285.0,1000,10,538W,6805,2026-01-15
第一華江,1290.0,0,20,538W,6805,2026-01-15
第一華江,1295.0,161,0,538W,6805,2026-01-15
第一華江,1320.0,0,1000,538W,6805,2026-01-15
第一中壢,1275.0,5,0,538Y,6805,2026-01-15
第一中壢,1280.0,1000,0,538Y,6805,2026-01-15
第一中壢,1305.0,5,0,538Y,6805,2026-01-15
第一中壢,1310.0,5,0,538Y,6805,2026-01-15
永興水湳,1290.0,35,0,5602,6805,2026-01-15
永興水湳,1295.0,16,0,5602,6805,2026-01-15
日進,1295.0,1,0,5660,6805,2026-01-15
統一,1270.0,0,1000,5850,6805,2026-01-15
統一,1275.0,0,5000,5850,6805,2026-01-15
統一,1280.0,1000,9000,5850,6805,2026-01-15
統一,1285.0,1000,32000,5850,6805,2026-01-15
統一,1290.0,1002,30200,5850,6805,2026-01-15
統一,1295.0,520,4000,5850,6805,2026-01-15
統一,1300.0,1,3000,5850,6805,2026-01-15
