feature,importance
inst_three_net_60d,0.05720277695706597
inst_foreign_net_60d,0.055795681921711145
enh_cost_low,0.04894854265395475
enh_cost_high,0.048482464955751585
enh_cost_deviation,0.03793466828996526
inst_foreign_net_20d,0.036076498679545786
inst_three_net_20d,0.03403729887132331
regime_score,0.031133342687617756
regime_score_pctile,0.028682176061439506
margin_balance_20d_change,0.028010889517997333
sbl_volume_60d,0.020900735386387835
atr_pct_20d,0.020233094037044957
top6_avg_wave_score,0.019217580225123928
sbl_volume_5d,0.018947720071714958
inst_three_net_5d,0.018865008919627932
breadth_5d,0.017355637629263426
concentration_5d,0.017187800549734514
breadth_ratio_5d,0.0170295811140856
avg_turnover_20d,0.01697018812259694
sbl_volume_20d,0.016169439475707818
breadth_20d,0.015911234145606044
inst_trust_net_20d,0.015677337399773384
pressure_ratio_5d,0.015498647912990765
top15_buy_stability_20d,0.014559341557311214
sell_count_20d,0.013870972960307386
top15_buy_stability_10d,0.013729146984974556
inst_trust_net_60d,0.013579394497656327
concentration_20d,0.013478036067130293
breadth_ratio_20d,0.01330785778626006
top6_max_wave_score,0.013305698038540228
margin_risk_flag,0.012387046886978132
buy_count_20d,0.01234582811341226
buy_count_5d,0.011396897612962625
sell_count_5d,0.011203502098824352
sbl_short_pressure_ratio_20d,0.01114758763027909
enh_coherence_today,0.010720389630983413
geo_zscore,0.009797697571629585
enh_coherence_max_20d,0.009412509662352518
enh_coherence_persistence_20d,0.00939363093255999
confirmation_score,0.009344488866793328
geo_baseline_weight,0.009208460893166731
inst_foreign_net_5d,0.009184429297688623
pressure_ratio_5d_pctile,0.008920917908296059
pressure_ratio_20d,0.008573663974659817
inst_bull_no_short_pressure_flag,0.008573246210571055
inst_trust_net_5d,0.008310753664651286
enh_coherence_slope_5d,0.008111401799355092
netbuy_20d_lot,0.00786393756210233
final_score,0.0073190682514029035
netbuy_20d_lot_pctile,0.007153389015316107
top15_buy_stability_20d_pctile,0.006897299607068296
breadth_5d_pctile,0.006824450656207401
score,0.0066968116993283595
tv_score_pctile,0.00621457844624768
concentration_5d_pctile,0.005981038111035406
pressure_ratio_20d_pctile,0.005542853883172622
score_pctile,0.0053046717627149055
final_score_pctile,0.0050855756695737985
netbuy_5d_lot_pctile,0.0048388536143714345
concentration_20d_pctile,0.004346985638382883
netbuy_1d_lot_pctile,0.003624471979467277
top15_buy_stability_10d_pctile,0.00344918238309322
netbuy_5d_lot,0.0030389118164984514
breadth_20d_pctile,0.0029510897599374013
tv_score,0.001570183817775904
netbuy_1d_lot,0.0014523102141477682
inst_three_align_5d,0.0011497335621620504
divergence_flag,0.0010339397848993905
invalid_flag,0.0010050842198037146
dist_risk_flag,0.0005243323119161682
inst_bear_with_short_pressure_flag,9.219196484001628e-19
breakout_flag,0.0
sbl_short_pressure_flag,0.0
