出表日期,公司代號,公司名稱,公司簡稱,外國企業註冊地國,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,總機電話,上櫃日期,普通股每股面額,實收資本額,私募股數,特別股,股票過戶機構,過戶電話,過戶地址,已發行普通股數或TDR原股發行股數
1150211,1240,茂生農經股份有限公司,茂生農經,－ ,33,台北市和平西路一段三十號二樓,18795706,吳清德,吳清德,林信鴻,公司治理主管,02-23671162,20180808,新台幣                 10.0000元,442323730,0,0,元大證券股份有限公司股務代理部,02-2586-5859,106045台北市大安區敦化南路二段67號地下1樓,44232373
1150211,1259,安心食品服務股份有限公司,安心,－ ,16,台北市南港區經貿二路66號16樓之3,23928945,黃茂雄,謝靜慧,高順興,副董事長,(02)2567-5001,20111215,新台幣                 10.0000元,323895000,0,0,群益金鼎證券(股)公司股務代理部,(02)27023999,(106)台北市大安區敦化南路二段97號B2,32389500
1150211,1264,德麥食品股份有限公司,德麥,－ ,2,新北市五股區五權五路31號,23420497,林雪嬌,吳文欽,邱俊榮,財務經理,(02)2298-1347,20150409,新台幣                 10.0000元,370523670,0,0,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市中正區許昌街17號2樓,37052367
1150211,1268,漢來美食股份有限公司,漢來美食,－ ,16,高雄市前金區成功一路266號21樓之1,80352343,林淑婷,林淑婷,柯柏良,財務長,(07)213-5788,20170927,新台幣                 10.0000元,422237300,0,0,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,42223730
1150211,1294,漢田生技股份有限公司,漢田生技,－ ,2,彰化縣溪湖鎮西溪里工業路101號,28814153,李雨霖,王國華,王國華,總經理,04-8811181,20240926,新台幣                 10.0000元,305715630,0,0,中國信託商業銀行代理部,02-6636-5566,100台北市中正區重慶南路一段83號5樓,30571563
1150211,1295,生合生物科技股份有限公司,生合,－ ,2,高雄市路竹區北嶺六路82號,70402724,楊連傳,楊三連(執行長),張秀如,副總經理,07-6955680,20250527,新台幣                 10.0000元,344748000,0,0,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,34474800
1150211,1336,台翰精密科技股份有限公司,台翰,－ ,28,桃園市龜山區民生北路一段568號1樓,22589593,蔡鎮隆,蔡鎮隆,李晉誠,執行副總經理,03-3112025,20071102,新台幣                 10.0000元,776144190,0,0,永豐金證券(股)公司股務代理部,02-23816288,台北市中正區博愛路17號3樓,77614419
1150211,1565,精華光學股份有限公司,精華,－ ,22,新北市汐止區大同路一段276之2號4、5樓,22195654,陳明賢,周育然,周華玲,稽核室副理,(02)8691-6000,20040330,新台幣                 10.0000元,504165160,0,0,元大證券股務代理部,(02)2586-5859,106臺北市大安區敦化南路2段67號地下一樓,50416516
1150211,1569,濱川企業股份有限公司,濱川,－ ,25,高雄市大寮區大發工業區興業路二號,76404919,蕭欽銘,蕭欽群,李璠,副總經理,07-7871521,20050729,新台幣                 10.0000元,1325474410,11100000,0,富邦綜合證券股份有限公司,02-23611300,台北市中正區許昌街17號2樓,132547441
1150211,1570,力肯實業股份有限公司,力肯,－ ,5,新北市八里區博物館路81號,36253534,陳立白,林昭陽,林婉菁,總管理處副總經理,(02)2619-5619,20050630,新台幣                 10.0000元,515008390,0,0,元富證券股份有限公司股務代理部,(02)2768-6668,105台北市松山區光復北路11巷35號B1,51500839
1150211,1580,新麥企業股份有限公司,新麥,－ ,5,新北市五股區五權六路23號,12461082,謝順和,謝順和,蕭淑娟,副總經理,02-22981148,20071210,新台幣                 10.0000元,493392420,0,0,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,49339242
1150211,1584,精剛精密科技股份有限公司,精剛,－ ,20,台南市柳營區工一路15號(環保科技園區),80334042,王炯棻,邱俊宏 (兼任),邱俊宏,執行長,06-6235143,20071128,新台幣                 10.0000元,2324705330,0,0,凱基證券股份有限公司,02-23892999,100台北市中正區重慶南路一段2號5樓,232470533
1150211,1586,和勤精機股份有限公司,和勤,－ ,5,彰化縣伸港鄉興工路40號,86985605,林輝政,鄭婷勻,鄭婷勻,總經理,04-7980339,20120109,新台幣                 10.0000元,1068494670,20000000,0,群益金鼎證券股份有限公司,02-2702-3999,台北市大安區敦化南路二段97號地下二樓,106849467
1150211,1591,英屬開曼群島商駿吉控股(股)公司,駿吉-KY,KY 開曼群島                                                    ,5,"Suite 102, Cannon Place, North Sound Rd., George Town",53650116,胡德立,胡德立,陳志德,子公司董事長,02-77097667,20120323,新台幣                 10.0000元,380480470,3250000,0,元大證券股份有限公司股務代理部,02-25048125,106045臺北市大安區敦化南路2段67號地下一樓,38048047
1150211,1593,祺驊股份有限公司,祺驊,－ ,37,新竹縣湖口鄉德興路231號,97432341,李佳蓉,李佳蓉,黃寧民,財務部副總經理,03-6992860,20120613,新台幣                 10.0000元,397847720,0,0,富邦綜合證券(股)公司股務代理部,02-23611300,台北市許昌街17號11樓,39784772
1150211,1595,川寶科技股份有限公司,川寶,－ ,28,桃園市蘆竹區長興路三段277巷33號,16860440,張鴻明,曾偉倫,簡麗真,協理,03-3249948,20111004,新台幣                 10.0000元,541819800,0,0,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,54181980
1150211,1599,宏佳騰動力科技股份有限公司,宏佳騰,－ ,5,台南市山上區南洲里南洲41號,80621419,鍾杰霖,鍾杰霖,林佳慧,經理,06-5783988,20121225,新台幣                 10.0000元,745287640,0,0,統一綜合證券股份有限公司,02-27463797,臺北市松山區東興路8號B1,74528764
1150211,1742,台灣蠟品股份有限公司,台蠟,－ ,21,桃園市大園區中山南路二段610號3樓,22625269,陳霆瑞,待聘任,曾柏堯,財務主管,05-2219180,20040514,新台幣                 10.0000元,926713000,46057341,0,康和綜合證券股份有限公司,02-87871118,台北市信義區基隆路一段176號B1,92671300
1150211,1777,生泰合成工業股份有限公司,生泰,－ ,22,台南市新營區開元路168號,72197621,蕭振明,洪俊誠,蕭振明,董事長,06-6362121~3,20051019,新台幣                 10.0000元,445917130,0,0,元大證券股份有限公司股務代理部,(02)2586-5859,106臺北市大安區敦化南路2段67號地下一樓,44591713
1150211,1781,合世生醫科技股份有限公司,合世,－ ,22,新北市中和區建一路186號9樓,97304042,楊國和,李紹弘,李淑芬,財務處副總,82271300,20041224,新台幣                 10.0000元,474076050,0,0,富邦綜合證券股份有限公司,02-2361-1300,台北市中正區許昌街17號2樓,47407605
1150211,1784,訊聯生物科技股份有限公司,訊聯,－ ,22,台北市內湖區新湖一路36巷28號1樓,70836411,蔡政憲,康清原,康清原,總經理,(02)27951777,20070726,新台幣                 10.0000元,531211910,0,0,中國信託商業銀行(股)公司代理部,(02)66365566,台北市重慶南路一段83號5樓,53121191
1150211,1785,光洋應用材料科技股份有限公司,光洋科,－ ,31,台南市安南區工業三路1號,43787872,843;峰,43;峰,;峰,董事長暨總經理,06-5110123,20050131,新台幣                 10.0000元,5960022430,0,0,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,596002243
1150211,1788,杏昌生技股份有限公司,杏昌,－ ,22,新北市三重區重新路5段609巷2號8樓之2,23161816,李忠良,陳國師,李映芬,管理處副總經理,6626-1166,20090720,新台幣                 10.0000元,445209710,0,0,元富證券股份有限公司股務代理部,(02)2768-6668,台北市松山區光復北路11巷35號地下1樓,44520971
1150211,1796,金穎生物科技股份有限公司,金穎生技,－ ,2,台南市新營區新工路33號,16962158,張曉莉,金晉德,蕭興義,副總經理,06-5109001,20180122,新台幣                 10.0000元,414597930,0,0,兆豐證券股份有限公司,(02)33930898,台北市忠孝東路二段95號1樓,41459793
1150211,1799,易威生醫科技股份有限公司,易威,－ ,22,新竹科學園區新竹市東區研發二路10號1樓,16570131,林翰飛,李艾平,吳雪君,財務協理,(03)666-9596,20081110,新台幣                 10.0000元,1246895270,77002580,0,宏遠證券股份有限公司股務代理部,(02)2326-8818,臺北市大安區信義路四段236號3樓,124689527
1150211,1813,寶利徠光學科技股份有限公司,寶利徠,－ ,22,33759桃園市大園區南港里11鄰長發路406號,84449952,宋一新,倪鏡如,倪鏡如,總經理,03-3853934,20090804,新台幣                 10.0000元,466355100,0,0,群益金鼎證券股份有限公司,02-27023999,台北市松山區敦化南路二段97號B2,46635510
1150211,1815,富喬工業股份有限公司,富喬,－ ,28,雲林縣斗六市榴南里斗工十六路8號,16834268,張元賓,陳壁程,胡銘倫,協理,02-27357658,20060123,新台幣                 10.0000元,5848862540,0,0,富喬工業股份有限公司股務室,02-2705-1333,台北市敦化南路二段九十八號十二樓,584886254
1150211,2035,唐榮鐵工廠股份有限公司,唐榮公司,－ ,10,高雄市小港區沿海二路四號,75460005,趙健在,周明宏,劉岳前,管理部門副總經理,07-8022811,20060707,新台幣                 10.0000元,3500000000,0,0,群益金鼎證券股份有限公司,02-2702-3999,台北市敦化南路2段97號地下2樓,350000000
1150211,2061,風青實業股份有限公司,風青,－ ,6,高雄市苓雅區新光路38號30樓之4,89260422,陳信宇,林水成,蔡玉賢,稽核主管,07-2693339,20101209,新台幣                 10.0000元,573780520,0,0,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,57378052
1150211,2063,世鎧精密股份有限公司,世鎧精密,－ ,10,高雄市岡山區本洲里本工一路一號,86637206,杜泰源,林上安,鄭守傑,副總經理,07-6225669,20100907,新台幣                 10.0000元,481014530,0,0,永豐金證券股份有限公司,02-23816288,10044台北市中正區博愛路17號3樓,48101453
1150211,2064,晉椿工業股份有限公司,晉椿,－ ,10,50544彰化縣鹿港鎮鹿工路24號,30826319,陳譽,蕭良賢,陳譽,董事長,04-7810000,20141226,新台幣                 10.0000元,693300000,0,0,群益金鼎證券股份有限公司,02-27035000,台北市大安區敦化南路二段97號B2,69330000
1150211,2065,世豐螺絲股份有限公司,世豐,－ ,10,(82547)高雄市橋頭區頂鹽里復興西路810號,31213886,杜泰源,陳駿彥,陳秀珠,副總,07-6116116,20170421,新台幣                 10.0000元,635167070,0,0,富邦綜合證券股份有限公司,02-23611300,台北市許昌街17號2樓,63516707
1150211,2066,世德工業股份有限公司,世德,－ ,5,高雄市大寮區(831)大發工業區華西路20號,22546808,陳光裕,陳光裕,陳怡樺,財務主管,07-7889168,20130924,新台幣                 10.0000元,444495270,0,0,台新綜合證券(股)公司股務代理部,02-25048125,台北市中山區建國北路一段96號B1,44449527
1150211,2067,嘉鋼精密工業股份有限公司,嘉鋼,－ ,5,(62155)嘉義縣民雄鄉民雄工業區成功二街21號,66402912,曹恆健,陳龍芳,陳龍芳,總經理,(05)2211411,20140526,新台幣                 10.0000元,451381770,0,0,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,45138177
1150211,2070,精湛光學科技股份有限公司,精湛,－ ,5,高雄市湖內區忠孝街110巷58號,89855649,吳俊男,許宏安,許宏安,總經理,07-6937937,20181217,新台幣                 10.0000元,357828000,0,0,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,35782800
1150211,2073,雄順金屬股份有限公司,雄順,－ ,10,高雄市路竹區順安路393號,24512261,陳啟祥,陳啟祥,林上文,副總經理,07-6960166,20230621,新台幣                 10.0000元,275000000,0,0,永豐金證券(股)公司股務代理部,02-2381-6288,台北市中正區博愛路17號3樓,27500000
1150211,2221,大甲永和機械工業股份有限公司,大甲,－ ,20,台中市大甲區幼獅路69號,56615319,黃士峰,鍾志清,鍾志清,總經理,04-26815496,20070801,新台幣                 10.0000元,423250000,0,0,凱基證券股份有限公司,02-2389-2999,台北市重慶南路一段2號5樓,42325000
1150211,2230,泰茂實業股份有限公司,泰茂,－ ,5,(72046)台南市官田區二鎮里實踐街10號,86070187,呂萬賢,呂萬傑,呂萬傑,總經理,06-6991235,20130418,新台幣                 10.0000元,680296050,0,0,兆豐證券股份有限公司,(02)3393-0898,臺北市忠孝東路二段95號8樓,68029605
1150211,2235,謚源實業股份有限公司,謚源,－ ,5,33378桃園市龜山區大華里頂湖路24號,22479934,吳碣石,吳碣石,王妤暄,發言人,(03)3973868,20141215,新台幣                 10.0000元,358780000,0,0,統一證券股份有限公司股務代理部,(02)27478266,台北市松山區東興路8號B1樓,35878000
1150211,2596,綠意開發股份有限公司,綠意,－ ,14,台北市市民大道五段69號2樓,12860948,許燈城,許燈城,許志豪,特別助理,(02)8787-8096,20090601,新台幣                 10.0000元,1000000000,0,0,福邦證券股份有限公司,(02)2371-1658,台北市忠孝西路一段6號6樓,100000000
1150211,2640,台灣大車隊股份有限公司,大車隊,－ ,36,台北市中山區長安東路二段162號2樓,27767961,林村田,楊榮輝,林念臻,執行長,02-25160966,20121107,新台幣                 10.0000元,592649560,0,0,凱基證券(股)公司-股務代理部,02-23892999,台北市中正區重慶南路一段2號5樓,59264956
1150211,2641,正德海運股份有限公司,正德,－ ,15,(802)高雄市苓雅區海邊路31號3樓,16467798,蔡邦權,蔡邦權,林勝鶴,副總經理,07-9697988,20141009,新台幣                 10.0000元,3271316890,0,0,福邦證券股務代理部,02-2383-6888,台北市中正區忠孝西路一段6號6樓,327131689
1150211,2643,捷迅股份有限公司,捷迅,－ ,15,台北市內湖區瑞光路34號4樓,12479610,顧城明,孫鋼銀,葉子菁,副總經理,(02)8792-9897,20160304,新台幣                 10.0000元,350000000,0,0,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,35000000
1150211,2718,全心投資控股股份有限公司,全心投控,－ ,14,台北市松山區八德路三段30號7樓,12198180,楊顯玲,劉潔芝,劉潔芝,總經理,02-2570-8800,20110329,新台幣                 10.0000元,875760000,15000000,0,元大證券股份有限公司,02-2586-3117,臺北市大安區敦化南路2段67號地下一樓,87576000
1150211,2719,台鋼燦星國際旅行社股份有限公司,燦星旅,－ ,16,台北市中山區民生東路二段161、163號7樓,80355209,侯佑霖,羅俊英,羅俊英,總經理,(02)8183-3888,20120224,新台幣                 10.0000元,691825000,60581954,0,康和綜合證券股份有限公司,02-8787-1118,台北市信義區基隆路一段176號B1,69182500
1150211,2724,藝舍國際創新股份有限公司,藝舍-KY,KY 開曼群島                                                    ,20,新北市板橋區華江一路111號13樓之6,28982799,賴運興,李宗錦,賴運興,董事長,(02)2999-5968,20120529,新台幣                 10.0000元,596563450,40570200,0,第一金證券股份有限公司,(02)2563-5711,台北市大安區安和路一段27號六樓,59656345
1150211,2726,雅茗天地股份有限公司,雅茗-KY,KY 開曼群島                                                    ,16,臺北市內湖區新湖一路77號6樓,38634004,吳伯超,江錫毅,江錫毅,總經理,(02)2790-0689,20141224,新台幣                 10.0000元,379224540,3000000,0,中國信託商業銀行股份有限公司,(02)6636-5566,台北市中正區重慶南路一段83號5樓,37922454
1150211,2729,瓦城泰統股份有限公司,瓦城,－ ,16,新北市中和區建一路176號7樓之1,70843031,徐承義,徐承義,羅琬萱,財務暨會計主管,(02)8227-1280,20120917,新台幣                 10.0000元,430407830,0,0,富邦綜合證券(股)公司,02-23611300,台北市中正區許昌街17號11樓,43040783
1150211,2732,六角國際事業股份有限公司,六角,－ ,16,新竹縣竹北市高鐵九路98號,80671769,王耀輝,王耀輝,謝婷韻,投資人關係經理,(03)550-7750,20150120,新台幣                 10.0000元,465185700,0,0,永豐金證券(股)公司股務代理部,(02)2381-6288,台北市博愛路17號3樓,46518570
1150211,2734,易飛網國際旅行社股份有限公司,易飛網,－ ,16,台北市中正區衡陽路51號2樓之1,70464468,周昀生,周昀生,周昀生,董事長,(02)7725-0800,20131226,新台幣                 10.0000元,572597600,0,0,中國信託商業銀行代理部,(02)6636-5566,台北市中正區重慶南路一段83號5樓,57259760
1150211,2736,富野大飯店股份有限公司,富野,－ ,16,臺東縣臺東市復興路38號6樓,29129201,劉清郎,史墨威,劉怡君,董事長特助,089-350678,20160106,新台幣                 10.0000元,799722300,20000000,0,元富證券股份有限公司股務代理部,(02)2768-6668,台北市光復北路11巷35號地下一樓,79972230
1150211,2740,華軒地產股份有限公司,華軒,－ ,16,新北市林口區公園路159號,28581041,陳銘鴻,陳朝泉,陳朝泉,總經理,(02)2313-1260,20151224,新台幣                 10.0000元,143020160,9488763,0,群益金鼎證券股份有限公司,(02)2703-5000,台北市大安區敦化南路二段97號B2,14302016
1150211,2743,山富國際旅行社股份有限公司,山富,－ ,16,台北市中山區南京東路二段85號4樓,22888987,陳國森,陳宣融,李慶良,企業部副總經理,02-25612999,20200309,新台幣                 10.0000元,468152100,0,0,福邦證券股份有限公司股務代理部,02-2371-1658,台北市中正區忠孝西路一段6號6樓,46815210
1150211,2745,五福旅行社股份有限公司,五福,－ ,16,"高雄市三民區博愛一路28號2,3樓",22835878,許順富,王哲彥,錢緯銘,經營企劃處副總,07-3231166,20180416,新台幣                 10.0000元,338085260,0,0,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,33808526
1150211,2751,王座國際餐飲股份有限公司,王座,－ ,16,台北市信義區基隆路二段51號4樓之2,42756204,王耀輝,林子恒,林子恒,總經理,02-23773088,20240910,新台幣                 10.0000元,197350000,0,0,永豐金證券股務代理部,(02)2381-6288,台北市博愛路17號3樓,19735000
1150211,2752,豆府股份有限公司,豆府,－ ,16,台北市中山區民權東路二段42號4樓,28841757,吳柏勳,吳孟哲,蘇凡鈞,財務長,(02)2581-3818,20190925,新台幣                 10.0000元,266938610,0,0,福邦證券股份有限公司,(02)2371-1658,台北市忠孝西路一段6號6樓,26693861
