broker_id,broker_group,broker_name,branch_name,address,city,phone,date,source,note,broker_org_type,seat_type,is_proprietary,id_quality,broker_category_ids,wantgoo_name,wantgoo_match_score,wantgoo_in_foreign_list,wantgoo_notes,city_quality,record_source
6161,中國信託,中國信託-三重,三重,新北市三重區重陽路一段66號2樓,新北市,02-89822558,1995/12/1,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
616A,中國信託,中國信託-中壢,中壢,桃園市中壢區中山路118號3樓、4樓、4樓之1、4樓之2,桃園市,03-4229666,2015/5/8,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
6168,中國信託,中國信託-嘉義,嘉義,嘉義市西區中山路386號6樓,嘉義市,05-2286699,2013/4/19,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
616X,中國信託,中國信託-國際證券,國際證券,台北市南港區經貿二路168號3樓,台北市,02-87891075,2015/3/17,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
6162,中國信託,中國信託-忠孝,忠孝,台北市中正區忠孝西路一段6號4樓,台北市,02-23141122,1997/7/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
6164,中國信託,中國信託-文心,文心,台中市北屯區文心路四段八七五號三樓部分,台中市,04-22468800,2002/7/1,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
6165,中國信託,中國信託-新竹,新竹,新竹市東區慈雲路118號10樓之1、10樓之7,新竹市,03-5153100,2003/6/16,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
6167,中國信託,中國信託-松江,松江,台北市中山區松江路220號3樓之1,台北市,02-2581-5688,2012/10/5,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
6163,中國信託,中國信託-永康,永康,台南市永康區中華路425號2樓部分,台南市,06-2338233,1999/1/15,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
6160,中國信託,中國信託,總部,臺北市南港區經貿二路168號3樓及臺北市南港區經貿二路188號14樓(部分),臺北市,02-66392000,1989/8/19,finmind,,local,hq,N,official,"BR01,SE01,ID01",,,,,from_address,finmind
616K,中國信託,中國信託-高雄,高雄,高雄市前金區中正四路168號6樓之1,高雄市,07-2151166,1997/5/31,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
616T,中國信託自,中國信託自,總部,台北市南港區經貿二路188號14樓,台北市,,2009/10/19,finmind,,local,hq,N,official,"BR01,SE01,ID01",,,,,from_address,finmind
8520,中農,中農,總部,台中市梧棲區四維中路157巷1號2樓,台中市,04-26572801,1991/7/27,finmind,,local,hq,N,official,"BR01,SE01,ID01",,,,,from_address,finmind
2187,亞東,亞東-台中,台中,台中市自由路2段131號2~3樓,台中市,04-22218600,2000/3/30,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
2185,亞東,亞東-台南,台南,台南市林森路1段395號4樓,台南市,06-2358999,1998/11/25,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
218A,亞東,亞東-國際證券,國際證券,新北市板橋區新站路16號14樓(部分),新北市,77531899,2015/6/2,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
2184,亞東,亞東-新竹,新竹,新竹市東區中央路241號2樓,新竹市,03-5641818,1998/3/17,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
2181,亞東,亞東-板橋,板橋,台北縣板橋市南雅南路二段一七０號一樓,台北縣,02-89665558,1994/5/23,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
2180,亞東,亞東,總部,台北市中正區重慶南路一段86號2樓,台北市,02-77531899,1979/6/21,finmind,,local,hq,N,official,"BR01,SE01,ID01",,,,,from_address,finmind
2186,亞東,亞東-高雄,高雄,高雄市前鎮區三多三路217號9樓,高雄市,07-5369888,2000/6/9,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
8492,京城,京城-嘉義,嘉義,嘉義市西區林森西路175號2樓,嘉義市,05-228-991,2022/8/1,finmind,,local,branch,N,official,"BR01,SE02,ID01",,,,,from_address,finmind
8490,京城,京城,總部,臺北市松山區南京東路三段289號3樓,臺北市,02-25631168,1990/12/15,finmind,,local,hq,N,official,"BR01,SE01,ID01",,,,,from_address,finmind
