公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數
1240,茂生農經,33,台北市和平西路一段三十號二樓,林信鴻,"$442,323,730","44,232,373"
1259,安心,16,台北市南港區經貿二路66號16樓之3,高順興,"$323,895,000","32,389,500"
1264,德麥,2,新北市五股區五權五路31號,邱俊榮,"$370,523,670","37,052,367"
1268,漢來美食,16,高雄市前金區成功一路266號21樓之1,柯柏良,"$422,237,300","42,223,730"
1294,漢田生技,2,彰化縣溪湖鎮西溪里工業路101號,王國華,"$305,715,630","30,571,563"
1295,生合,2,高雄市路竹區北嶺六路82號,張秀如,"$344,748,000","34,474,800"
1336,台翰,28,桃園市龜山區民生北路一段568號1樓,李晉誠,"$776,144,190","77,614,419"
1565,精華,22,新北市汐止區大同路一段276之2號4、5樓,周華玲,"$504,165,160","50,416,516"
1569,濱川,25,高雄市大寮區大發工業區興業路二號,李璠,"$1,325,474,410","132,547,441"
1570,力肯,5,新北市八里區博物館路81號,林婉菁,"$515,008,390","51,500,839"
1580,新麥,5,新北市五股區五權六路23號,蕭淑娟,"$493,392,420","49,339,242"
1584,精剛,20,台南市柳營區工一路15號(環保科技園區),邱俊宏,"$2,324,705,330","232,470,533"
1586,和勤,5,彰化縣伸港鄉興工路40號,鄭婷勻,"$1,068,494,670","106,849,467"
1591,駿吉-KY,5,"Suite 102, Cannon Place, North Sound Rd., George Town",陳志德,"$380,480,470","38,048,047"
1593,祺驊,37,新竹縣湖口鄉德興路231號,黃寧民,"$397,847,720","39,784,772"
1595,川寶,28,桃園市蘆竹區長興路三段277巷33號,簡麗真,"$541,819,800","54,181,980"
1599,宏佳騰,5,台南市山上區南洲里南洲41號,林佳慧,"$745,287,640","74,528,764"
1742,台蠟,21,桃園市大園區中山南路二段610號3樓,曾柏堯,"$926,713,000","92,671,300"
1777,生泰,22,台南市新營區開元路168號,蕭振明,"$445,917,130","44,591,713"
1781,合世,22,新北市中和區建一路186號9樓,李淑芬,"$474,076,050","47,407,605"
1784,訊聯,22,台北市內湖區新湖一路36巷28號1樓,康清原,"$531,211,910","53,121,191"
1785,光洋科,31,台南市安南區工業三路1號,;峰,"$5,960,022,430","596,002,243"
1788,杏昌,22,新北市三重區重新路5段609巷2號8樓之2,李映芬,"$445,209,710","44,520,971"
1796,金穎生技,2,台南市新營區新工路33號,蕭興義,"$414,597,930","41,459,793"
1799,易威,22,新竹科學園區新竹市東區研發二路10號1樓,吳雪君,"$1,246,895,270","124,689,527"
1813,寶利徠,22,33759桃園市大園區南港里11鄰長發路406號,倪鏡如,"$466,355,100","46,635,510"
1815,富喬,28,雲林縣斗六市榴南里斗工十六路8號,胡銘倫,"$5,848,862,540","584,886,254"
2035,唐榮公司,10,高雄市小港區沿海二路四號,劉岳前,"$3,500,000,000","350,000,000"
2061,風青,6,高雄市苓雅區新光路38號30樓之4,蔡玉賢,"$573,780,520","57,378,052"
2063,世鎧精密,10,高雄市岡山區本洲里本工一路一號,鄭守傑,"$481,014,530","48,101,453"
2064,晉椿,10,50544彰化縣鹿港鎮鹿工路24號,陳譽,"$693,300,000","69,330,000"
2065,世豐,10,(82547)高雄市橋頭區頂鹽里復興西路810號,陳秀珠,"$635,167,070","63,516,707"
2066,世德,5,高雄市大寮區(831)大發工業區華西路20號,陳怡樺,"$444,495,270","44,449,527"
2067,嘉鋼,5,(62155)嘉義縣民雄鄉民雄工業區成功二街21號,陳龍芳,"$451,381,770","45,138,177"
2070,精湛,5,高雄市湖內區忠孝街110巷58號,許宏安,"$357,828,000","35,782,800"
2073,雄順,10,高雄市路竹區順安路393號,林上文,"$275,000,000","27,500,000"
2221,大甲,20,台中市大甲區幼獅路69號,鍾志清,"$423,250,000","42,325,000"
2230,泰茂,5,(72046)台南市官田區二鎮里實踐街10號,呂萬傑,"$680,296,050","68,029,605"
2235,謚源,5,33378桃園市龜山區大華里頂湖路24號,王妤暄,"$358,780,000","35,878,000"
2596,綠意,14,台北市市民大道五段69號2樓,許志豪,"$1,000,000,000","100,000,000"
2640,大車隊,36,台北市中山區長安東路二段162號2樓,林念臻,"$592,649,560","59,264,956"
2641,正德,15,(802)高雄市苓雅區海邊路31號3樓,林勝鶴,"$3,271,316,890","327,131,689"
2643,捷迅,15,台北市內湖區瑞光路34號4樓,葉子菁,"$350,000,000","35,000,000"
2718,全心投控,14,台北市松山區八德路三段30號7樓,劉潔芝,"$875,760,000","87,576,000"
2719,燦星旅,16,台北市中山區民生東路二段161、163號7樓,羅俊英,"$691,825,000","69,182,500"
2724,藝舍-KY,20,新北市板橋區華江一路111號13樓之6,賴運興,"$596,563,450","59,656,345"
2726,雅茗-KY,16,臺北市內湖區新湖一路77號6樓,江錫毅,"$379,224,540","37,922,454"
2729,瓦城,16,新北市中和區建一路176號7樓之1,羅琬萱,"$430,407,830","43,040,783"
2732,六角,16,新竹縣竹北市高鐵九路98號,謝婷韻,"$465,185,700","46,518,570"
