公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數
1101,台泥,1,台北市中山北路2段113號,葉毓君,"$77,511,817,420","7,551,181,742"
1102,亞泥,1,台北市大安區敦化南路2段207號30、31樓,王照宇,"$35,465,628,810","3,546,562,881"
1103,嘉泥,1,台北市中山北路二段96號,金哲毅,"$7,902,474,590","790,247,459"
1104,環泥,1,台北市南京東路二段125號10樓,楊宗仁,"$6,866,818,160","686,681,816"
1108,幸福,1,台北市松江路237號15樓,溫秀菊,"$4,047,380,490","404,738,049"
1109,信大,1,台北市寶慶路37號7樓,張清壽,"$3,411,588,680","341,158,868"
1110,東泥,1,高雄市前金區五福三路21號4樓之1,黃薪翰,"$5,720,007,970","572,000,797"
1201,味全,2,台北市松江路125號,李文學,"$5,060,629,140","506,062,914"
1203,味王,2,台北市中山北路二段79號5樓,魏璟雄,"$2,400,000,000","240,000,000"
1210,大成,2,台南市永康區蔦松二街三號,夏銜譽,"$8,947,672,220","894,767,222"
1213,大飲,2,桃園市平鎮區南勢里2鄰南東路410號,蘇芸樂,"$566,226,270","56,622,627"
1215,卜蜂,2,台北市松江路八十七號十七樓,劉明哲,"$2,947,900,980","294,790,098"
1216,統一,2,71001台南市永康區中正路301號,陳國煇,"$56,820,154,210","5,682,015,421"
1217,愛之味,2,嘉義縣民雄鄉工業二路11號,陳冠翰,"$4,945,133,360","494,513,336"
1218,泰山,2,彰化縣田中鎮興工路6號,李淑惠,"$4,999,990,380","499,999,038"
1219,福壽,2,台中市沙鹿區沙田路45號,徐沛妤,"$3,412,383,640","341,238,364"
1220,台榮,2,台北市中山區南京東路二段206號6樓,周忠平,"$1,770,779,440","177,077,944"
1225,福懋油,2,台中市大肚區沙田路一段453號,秦慧如,"$2,422,683,060","242,268,306"
1227,佳格,2,台北市內湖區瑞光路610號10樓,曹博睿,"$9,150,895,910","915,089,591"
1229,聯華,2,臺北市南港區南港路一段209號10樓,林信宏,"$17,959,606,680","1,795,960,668"
1231,聯華食,2,台北市迪化街一段148號,林志遠,"$2,984,544,750","298,454,475"
1232,大統益,2,台南市官田區二鎮里工業西路32號,陳昭良,"$1,599,749,150","159,974,915"
1233,天仁,2,台北市忠孝東路4段107號6樓,王華榮,"$905,919,480","90,591,948"
1234,黑松,2,台北市信義路四段296號3樓,杜居燦,"$4,018,710,940","401,871,094"
1235,興泰,2,高雄市仁武區高楠公路10號,王麗雯,"$1,885,778,360","188,577,836"
1236,宏亞,2,新北市新店區北新路一段86號20樓之6,許士彬,"$866,740,080","86,674,008"
1256,鮮活果汁-KY,2,"Suite 102, Cannon Place, P.O. Box 712, North Sound Rd.",吳明憲,"$357,721,600","35,772,160"
1301,台塑,3,高雄市仁武區水管路100號,林勝冠,"$63,657,407,810","6,365,740,781"
1303,南亞,3,台北市內湖區南京東路六段380號(A1)7樓,鄒明仁,"$79,308,215,890","7,930,821,589"
1304,台聚,3,台北市內湖區基湖路37號12樓,吳銘宗,"$11,887,635,000","1,188,763,500"
1305,華夏,3,台北市內湖區基湖路37號12樓,吳建興,"$5,810,504,940","581,050,494"
1307,三芳,3,高雄市三民區通化街120號,李禮權,"$3,978,181,260","397,818,126"
1308,亞聚,3,高雄市林園區工業一路3號,黃克名,"$5,937,439,190","593,743,919"
1309,台達化,3,台北市內湖區基湖路37號12樓,黃俊豪,"$3,975,868,480","397,586,848"
1310,台苯,3,台北市中正區羅斯福路一段六號八樓之一,呂政欣,"$5,278,697,640","527,869,764"
1312,國喬,3,臺北市敦化北路135號8樓,沈美佑,"$11,266,203,280","1,106,620,328"
1313,聯成,3,台北市南港區南港路一段209號A棟9樓,張嘉麟,"$13,308,461,070","1,330,846,107"
1314,中石化,3,高雄市大社區經建路1號,陳穎俊,"$37,848,501,300","3,784,850,130"
1315,達新,3,台中市西屯區工業區35路51號,賴耿民,"$990,990,000","99,099,000"
